Accel_X,Accel_Y,Accel_Z,Temp,Light
9.614475,-1.493883,-0.497961,24.626465,4.000000
9.691086,-1.417273,-0.268133,24.648438,12.000000
9.691086,-1.264054,-0.191523,24.648438,5.000000
10.380570,-0.574570,0.000000,24.670289,5.000000
10.418873,-0.306437,0.995922,24.670289,4.000000
9.576172,-0.957617,0.229828,24.692261,4.000000
9.729389,-0.804398,-0.229828,24.692261,4.000000
9.691086,-0.995922,-0.191523,24.626465,3.000000
9.729389,-1.110836,0.038305,24.670289,13.000001
9.729389,-1.110836,-0.153219,24.692261,5.000000
9.767693,-0.689484,0.191523,24.670289,4.000000
9.614475,-1.110836,-0.459656,24.714234,17.000000
9.691086,-0.995922,-0.268133,24.670289,4.000000
9.729389,-1.493883,-0.383047,24.670289,15.000000
9.691086,-0.842703,-0.344742,24.670289,4.000000
9.729389,-1.225750,-0.612875,24.692261,4.000000
9.576172,-0.995922,-0.574570,24.692261,4.000000
9.422951,-1.149140,-1.072531,24.670289,22.000000
9.346344,-0.727789,-0.191523,24.670289,6.000000
10.572094,-1.034226,-0.459656,24.692261,18.000001
9.652779,-0.881008,-0.383047,24.692261,13.000001
9.576172,-0.536266,-0.651180,24.692261,4.000000
9.576172,-0.804398,-0.383047,24.714234,4.000000
9.422951,-0.574570,-0.651180,24.714234,4.000000
9.729389,-1.072531,-0.497961,24.692261,5.000000
9.652779,-0.574570,-0.574570,24.692261,4.000000
9.614475,-0.344742,-0.383047,24.670289,30.000000
9.576172,-0.804398,-0.995922,24.692261,4.000000
9.652779,-0.842703,-0.574570,24.692261,23.000000
9.614475,-0.574570,-0.229828,24.714234,24.000001
9.614475,-0.191523,-0.459656,24.714234,22.000000
9.461258,-0.995922,-0.421352,24.670289,17.000000
9.882607,-0.881008,0.229828,24.692261,4.000000
9.154819,-2.106757,0.383047,24.648438,22.000000
9.652779,-3.753859,-0.383047,24.714234,4.000000
9.269733,-2.489804,0.651180,24.692261,4.000000
10.035828,-0.191523,1.302359,24.736207,4.000000
8.810078,0.497961,1.264054,24.670289,4.000000
9.844303,2.106757,1.953539,24.736207,4.000000
8.618553,-0.995922,2.106757,24.714234,4.000000
7.507717,1.225750,3.026070,24.736207,6.000000
9.537865,0.421352,6.703320,24.692261,3.000000
8.695164,2.106757,3.715554,24.714234,4.000000
9.078209,0.881008,2.566414,24.692261,3.000000
9.308037,0.881008,2.604718,24.626465,3.000000
9.193123,1.072531,2.106757,24.670289,16.000000
9.116512,0.268133,1.685406,24.692261,4.000000
9.193123,1.110836,1.876929,24.714234,11.000000
9.308037,1.034226,1.493883,24.714234,4.000000
9.576172,1.110836,1.762015,24.736207,4.000000
